path,split,class_dir,ext,bytes,read_ok,width,height,channels,mode,format,bit_depth,md5,sha256,dhash_hex,source_key,chain,lineage_class,source_key_status,duplicate_group,near_duplicate_group,stem_parsed
train/benign/benign (101)-rotated2.png,train,benign,png,83247,True,224,224,3,RGB,PNG,8,a06c9043f0a534c8fae7f9493f378a77,071211e4d81c13e38c2b71a3ea3bbcf28635226294cfe69c6862290aba9db8e3,4a6028ea7958c8c8,benign (101),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (101)-sharpened-rotated1.png,train,benign,png,103063,True,224,224,3,RGB,PNG,8,0be7beabe69a6409736761fd7211fb2e,cb6cc1acee79d927ad97da29e00933a7ab8d33c6cc1dee0f047f5251f4bb5cff,15e12b287968686c,benign (101),sharpened|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-93006c1dc5cb,True
train/benign/benign (101)-sharpened-rotated2.png,train,benign,png,100521,True,224,224,3,RGB,PNG,8,1b43266433e11be7174a210114fbd411,019ba99a4a8c16d218b967a2446376ee5e03d899fc84767fb8b38898ebea521f,2711756a1a91b111,benign (101),sharpened|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-1a7d343739b0,True
train/benign/benign (101)-sharpened-sharpened.png,train,benign,png,132552,True,224,224,3,RGB,PNG,8,d510beeebf917bac41a6053a1193fbd7,959b4644f9dd26d84f6aabd5e15c3efcc4f6ac429a31c95a82e2865fb4d5f70f,e8602aea7958c8c8,benign (101),sharpened|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (101)-sharpened.jpg,train,benign,jpg,31760,True,224,224,3,RGB,JPEG,8,18f7adcc34a442deb3b0e538ce575a6d,5bb4049e45b9c17ebabfbaf53a7cbd43f67dcc940aff84a5643fa5bb99b5ef50,68602aea7958c8c8,benign (101),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (101)-sharpened.png,train,benign,png,113934,True,224,224,3,RGB,PNG,8,911bd43f9e7087e38a807c7a9aee2a1d,bc0da8db368bcd74f780a62657f6bafad810500fe8b80e078dcf59a064bbd5a5,6a602aea7958c8c8,benign (101),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (101).png,train,benign,png,52610,True,227,227,3,RGB,PNG,8,0f9bad11f72c2a7f5adc1db0c5d92794,65824abbb07f4f83ee6ec4b98fcc14af72548780762e63d99be3ce04c66a671d,4a6028ea7958c8c8,benign (101),,strong,inferred_from_filename_not_verified_identifier,,near-2bbc082a59d9,True
train/benign/benign (102)-rotated1-rotated1.png,train,benign,png,59559,True,224,224,3,RGB,PNG,8,f9cc5ac83be62f9ae09c6b610976ff93,19d34e4256b26fc03b37bf37db65a0a6f4fad3a09da076d6f95831c5e3215eca,0779792ca0f0785c,benign (102),rotated1|rotated1,confirmed,inferred_from_filename_not_verified_identifier,exact-f9cc5ac83be6,near-f4ecf8e34600,True
train/benign/benign (102)-rotated1-rotated2.png,train,benign,png,59559,True,224,224,3,RGB,PNG,8,f9cc5ac83be62f9ae09c6b610976ff93,19d34e4256b26fc03b37bf37db65a0a6f4fad3a09da076d6f95831c5e3215eca,0779792ca0f0785c,benign (102),rotated1|rotated2,confirmed,inferred_from_filename_not_verified_identifier,exact-f9cc5ac83be6,near-f4ecf8e34600,True
train/benign/benign (102)-rotated1-sharpened.png,train,benign,png,92190,True,224,224,3,RGB,PNG,8,24454895becf5b6b66811273c74775ab,2a5725e9a28685c416044386259abd27221c7d8d4e3b3a3c52c7a82c5943b6eb,37583caca8e0f119,benign (102),rotated1|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-6d3c22db8d76,True
train/benign/benign (102)-rotated1.jpg,train,benign,jpg,16096,True,224,224,3,RGB,JPEG,8,a34a81da86e4c2127277049302d7d9bc,f1d8a9725e69bde4df647aab3816ac5a70535801ff095f927559de114226b880,3759792ca0e0789c,benign (102),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102)-rotated1.png,train,benign,png,62743,True,224,224,3,RGB,PNG,8,a7b1b2748d761b8b9d7532124e5f13e4,f66916f59dfcd71e1ca7481cd0fbb9b3fb423af49c2c4606a48e666e57917da0,37583c2ca0e0f999,benign (102),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-6d3c22db8d76,True
train/benign/benign (102)-rotated2-rotated1.png,train,benign,png,64506,True,224,224,3,RGB,PNG,8,7410c7e80e503cc4b13274b6b89eeea5,940f6f3f2da878fe658b7f02178df9af2053812f5bb236df8eedf25c19be435d,376169f8f378530f,benign (102),rotated2|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (102)-rotated2-rotated2.png,train,benign,png,58183,True,224,224,3,RGB,PNG,8,ae66a9e6652688b3582757b8fa3864e8,58607dde4192a3e8bce209cd6cbb244e17a7d55fe1855a034de5947e77289ea8,2f71752ce0f13d0f,benign (102),rotated2|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (102)-rotated2-sharpened.png,train,benign,png,94341,True,224,224,3,RGB,PNG,8,5355b87a279fee8fed97082776084e89,e28c042c62bd3d43a3b9961510c36a79d86c1bfaf88366d8e0e3156746d0d248,1373e9e8e072550f,benign (102),rotated2|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (102)-rotated2.jpg,train,benign,jpg,16047,True,224,224,3,RGB,JPEG,8,708208f39a787f08dd3677e3a4cd23fb,4007e7acc570cacfe350de6ef3e3ad07abdfe3bfe86a7b53684dd8e785fd194c,2759792ca0f078dc,benign (102),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102)-rotated2.png,train,benign,png,63636,True,224,224,3,RGB,PNG,8,8193281a04e5b26e2306d8d1c6789755,94fbb14d2f46f0ac3f3046765048e1aac7cb3ceef62bc4864ebab3a1e6eb088a,1931fd68a0f03c5f,benign (102),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (102)-sharpened-rotated1.png,train,benign,png,91749,True,224,224,3,RGB,PNG,8,05501a144a560c41dc8aef7944c8849a,43771bfd6964e507c605a16e1cdc50410cb913ce6e3be67083be136801f864fe,0979752ce0f0384c,benign (102),sharpened|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102)-sharpened-rotated2.png,train,benign,png,90175,True,224,224,3,RGB,PNG,8,cd6c345071d65496078dceda4f1a8b9e,ae470ce33481d812c6e97f08f6a51ba5d580b178b2d53cbac251add3ccc47fc8,1933fde820727c0f,benign (102),sharpened|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (102)-sharpened-sharpened.png,train,benign,png,123873,True,224,224,3,RGB,PNG,8,69019dd697eb622562f3a3e894334b9f,677fdb380daf20a4c38f6a4c6eeeac7a7737e76865adb7c56265708979b6eec5,3a79752ca0b078d8,benign (102),sharpened|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102)-sharpened.jpg,train,benign,jpg,27429,True,224,224,3,RGB,JPEG,8,886f5136c4b74d3569ede37fb8c64e24,d3cdd6b1416f0593a7089c26f1c5776be96a0329d29b04c919864f74d37dc385,2a79752ca0f038d8,benign (102),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102)-sharpened.png,train,benign,png,99398,True,224,224,3,RGB,PNG,8,4b367f76164ffcee47f106936b6ab34b,a6f9c6fa8ef1f4436e9a899b01ea9da3a61cbf0d565c2a79aae3889c2d407827,2a79752ca0f038dc,benign (102),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (102).png,train,benign,png,48452,True,227,227,3,RGB,PNG,8,ec7027f1fd2c930a4615e98f157ee91a,8db74fe51c6c6a0b36c4027cb1e2fa4c363dde2cd4d0901840d91dc90a994b09,2a79712ca0f078d8,benign (102),,strong,inferred_from_filename_not_verified_identifier,,near-f4ecf8e34600,True
train/benign/benign (103)-rotated1-rotated1.png,train,benign,png,75334,True,224,224,3,RGB,PNG,8,28944dae48b0b70ba319c5f2c854720e,d99b48ab45e162b942dfdbf82001e9b2652b3cf4c81eab4922981671264ce4b0,491bc283573f3e75,benign (103),rotated1|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-rotated1-rotated2.png,train,benign,png,72263,True,224,224,3,RGB,PNG,8,635796d6a9754ebc921ab2299ad7aa97,c3ebf46a3d969ce43b97ce5305f0a2407cfd179ba9882cc83078eb28d28bab33,274983e273737d25,benign (103),rotated1|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-fde9b20ac6d0,True
train/benign/benign (103)-rotated1-sharpened.png,train,benign,png,111445,True,224,224,3,RGB,PNG,8,a6a07ec8664f6927c42b5ffe0be42ac1,f78a5dae5dafedb08317c2f9c4540c30d5113e2ec77883ec799d66011fa63a04,5913c683d73e3e74,benign (103),rotated1|sharpened,confirmed,inferred_from_filename_not_verified_identifier,exact-a6a07ec8664f,near-9b1f1216a759,True
train/benign/benign (103)-rotated1.jpg,train,benign,jpg,18844,True,224,224,3,RGB,JPEG,8,1137aaa839976970547681fcb8dfde8b,c6ffcf7bee03b80632a3df3be5af58b1b0a51137e788e518c7ca79b19a81214e,5913c683d73e3e74,benign (103),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-rotated1.png,train,benign,png,75888,True,224,224,3,RGB,PNG,8,d18ca2a697d0f1496038d208d48901ad,21735cd8ecc4105dcbbb1cf43b774465db860abe21b42659f939f20f7300f2b1,591bc283d73e3e74,benign (103),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-rotated2-rotated1.png,train,benign,png,74558,True,224,224,3,RGB,PNG,8,f0d4406e646de57270d0674224c0fded,c377a623c5b54d8850458f4b56a4ca742aa1f28e832bc9132b19e40a75e76af6,4f1bc283533b7c75,benign (103),rotated2|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-rotated2-rotated2.png,train,benign,png,73659,True,224,224,3,RGB,PNG,8,26bb36d2ed95a39d6d86136e5a33421b,5a75a0660270814b8d87fd0c856c68e16f8636e5270f5cb979c278265a0bebf6,1f37a7c7873e3e3e,benign (103),rotated2|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (103)-rotated2-sharpened.png,train,benign,png,111445,True,224,224,3,RGB,PNG,8,a6a07ec8664f6927c42b5ffe0be42ac1,f78a5dae5dafedb08317c2f9c4540c30d5113e2ec77883ec799d66011fa63a04,5913c683d73e3e74,benign (103),rotated2|sharpened,confirmed,inferred_from_filename_not_verified_identifier,exact-a6a07ec8664f,near-9b1f1216a759,True
train/benign/benign (103)-rotated2.jpg,train,benign,jpg,17704,True,224,224,3,RGB,JPEG,8,926051a81355178e5c1da0b64c214378,468ac0b3bef699193df84f838d1bc6d5cf5af18096912162175fa4cb9b6eb4fe,4d1bc283533f7e75,benign (103),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-rotated2.png,train,benign,png,72295,True,224,224,3,RGB,PNG,8,f3ffc035541bdbd63ca76ac3da74a3f2,be4fb19fc070b20ca9b04289f0306d88031c68aebe4a604795b388e649399992,274981e37371790d,benign (103),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-fde9b20ac6d0,True
train/benign/benign (103)-sharpened-rotated1.png,train,benign,png,111445,True,224,224,3,RGB,PNG,8,a6a07ec8664f6927c42b5ffe0be42ac1,f78a5dae5dafedb08317c2f9c4540c30d5113e2ec77883ec799d66011fa63a04,5913c683d73e3e74,benign (103),sharpened|rotated1,confirmed,inferred_from_filename_not_verified_identifier,exact-a6a07ec8664f,near-9b1f1216a759,True
train/benign/benign (103)-sharpened-rotated2.png,train,benign,png,96575,True,224,224,3,RGB,PNG,8,af2e637bd171b2856bd61fa379da5988,6171045d0d8640117e55c72831b6c4e96b76299143117d422a338a6cf7c9e221,1f2567e78f1f3f1f,benign (103),sharpened|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,,True
train/benign/benign (103)-sharpened-sharpened.png,train,benign,png,133558,True,224,224,3,RGB,PNG,8,8ad24540b8c5cf36dcf55396b611468c,11f3901631447ce9be81fb524a40494ee020d94f4906c4427d4a77122db0d5fd,59138683c33e3e76,benign (103),sharpened|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-sharpened.jpg,train,benign,jpg,30448,True,224,224,3,RGB,JPEG,8,84b7a94c709560bc789adcc1731799f9,56af43e24fe024ec9f5037a046708422adc569ca3dad9b4c6aba7a9c0a1ec633,5913c683d73e3e74,benign (103),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (103)-sharpened.png,train,benign,png,111445,True,224,224,3,RGB,PNG,8,a6a07ec8664f6927c42b5ffe0be42ac1,f78a5dae5dafedb08317c2f9c4540c30d5113e2ec77883ec799d66011fa63a04,5913c683d73e3e74,benign (103),sharpened,confirmed,inferred_from_filename_not_verified_identifier,exact-a6a07ec8664f,near-9b1f1216a759,True
train/benign/benign (103).png,train,benign,png,50569,True,227,227,3,RGB,PNG,8,096d01556ff5850cde3ac0f964a9afd1,ba188235970a42f140400ddb60bd1a6c71a20782e9c298f7899e7ece01a44797,5913c683d73e3e74,benign (103),,strong,inferred_from_filename_not_verified_identifier,,near-9b1f1216a759,True
train/benign/benign (104)-rotated1-rotated1.png,train,benign,png,72312,True,224,224,3,RGB,PNG,8,78eda8345617177dfb6aa7221f58b8dd,219d9d2603a940497ee2a74a546e77c64d87ba342ea074ade9d40d2b72ddf396,1f1b0b181053c343,benign (104),rotated1|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated1-rotated2.png,train,benign,png,72281,True,224,224,3,RGB,PNG,8,ee335e65950e853b2db6751f5564ea18,137edfd175ab860a825b469326b99e65a5b7e3298d022b72572e0b4e39270fcb,0525151899312131,benign (104),rotated1|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-5b76a28f0d08,True
train/benign/benign (104)-rotated1-sharpened.png,train,benign,png,104428,True,224,224,3,RGB,PNG,8,7e342da21c33d8a3528069eb8f5d9a7f,92e23bf9147deedd600f6d6e2016af6cf60003259a0e564e247811b2f7626225,2f121b9810734361,benign (104),rotated1|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated1.jpg,train,benign,jpg,18242,True,224,224,3,RGB,JPEG,8,a6388a4d2adf91c0f515d7d17ccea3e7,c576aad09e5ac3d47c84617fac0da079c15ab5a83e84d5b5b0ed120457e6dd5c,2f121b1810734361,benign (104),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated1.png,train,benign,png,76073,True,224,224,3,RGB,PNG,8,eec25387dd8962935f3658f3012bc7a5,bc211f29a99ea8b3bff033d0ddd67b1dbc6e7b5d0d22680df5cb1011dceea3d4,1f120b9810534343,benign (104),rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated2-rotated1.png,train,benign,png,71288,True,224,224,3,RGB,PNG,8,a8534e9479d2f6a25708e282826f0752,ff41f8fe054f67d34a5b4d9ee00a5c478f84351c7d87b1d73e0b8639dfe06039,1f4b0b1810d1c307,benign (104),rotated2|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated2-rotated2.png,train,benign,png,71407,True,224,224,3,RGB,PNG,8,02f753e8d51eba1dc04961754914eaa2,b4f16661d5fb27b7fefe309d4236f5aec5d550f8d01d2209d9ab55d18551e23e,1f4b0b181051c303,benign (104),rotated2|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated2-sharpened.png,train,benign,png,102463,True,224,224,3,RGB,PNG,8,225683d0a85171db5657e1fc1497df34,72f8409bf1e4f31f9573c31a2b39dd9a472c64955d62dce5e674d1e1cb8473e8,1f120a9810534343,benign (104),rotated2|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-rotated2.jpg,train,benign,jpg,17979,True,224,224,3,RGB,JPEG,8,802c6761297b784621c23987739af92e,0f128c92087923d50c2cbbf26b1c6e1336d9fce48facd5645398dbb200100af7,0565351119312119,benign (104),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-5b76a28f0d08,True
train/benign/benign (104)-rotated2.png,train,benign,png,77160,True,224,224,3,RGB,PNG,8,1edf87f887eec9d24fd0df3713a45724,57ad609bcd7c3e80a15077d0e07f88ba4ceee9a77ef16ef24745011621f9c7fd,2f121b9810734361,benign (104),rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-sharpened-rotated1.png,train,benign,png,103638,True,224,224,3,RGB,PNG,8,189f7a4783947266d864fe9076c71576,98fa6e47b4fb1bc955c2e60fa9e6f2de03fbe3f451b33754396c7c811a1a39aa,2e121b1810734361,benign (104),sharpened|rotated1,confirmed,inferred_from_filename_not_verified_identifier,,near-ccec91f99358,True
train/benign/benign (104)-sharpened-rotated2.png,train,benign,png,105928,True,224,224,3,RGB,PNG,8,b2682b5b5b7af7c6f04ef023ec44f7c0,247237c4df33fb7a7787d44b64fc634c4ac4dd0743fffebcf6760b940c9efd87,0c36951899314131,benign (104),sharpened|rotated2,confirmed,inferred_from_filename_not_verified_identifier,,near-ece3670e8e50,True
train/benign/benign (104)-sharpened-sharpened.png,train,benign,png,135170,True,224,224,3,RGB,PNG,8,ca849466b190531356a88a14d15ca49b,8125fa03d74983178e1b961e2ae8da13c8ce11ece81852fe4f505352df0f8d41,2c36951819334371,benign (104),sharpened|sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-ece3670e8e50,True
train/benign/benign (104)-sharpened.jpg,train,benign,jpg,31489,True,224,224,3,RGB,JPEG,8,4c0c65e43ee0af05f11eed200b2e7def,f98cfa60b8e5d27cec9727d3d08b6acbcccbd72e395eb3486beb39c9e353fa81,2c36951819314171,benign (104),sharpened,confirmed,inferred_from_filename_not_verified_identifier,,near-ece3670e8e50,True
