split,class,position,output_file,image_path,md5,bag_id,source_group_id,qa_min,qa_max,qa_mean,qa_std,flags
val,benign,10,train__benign__benign (61)-rotated1.png.png,train/benign/benign (61)-rotated1.png,3a85dcca0de31e5c14105115a77c7958,bag-0c1bed55cafc,grp-0c1bed55cafc,-1.2917,2.2454,0.2261,0.729,
val,benign,11,train__benign__benign (77)-sharpened.jpg.png,train/benign/benign (77)-sharpened.jpg,2d30f0c2ee05e3b609f198af2fe5340b,bag-0b06c7240618,grp-0b06c7240618,-1.2917,2.7896,-0.7459,0.7241,
val,benign,12,train__benign__benign (96)-rotated2-rotated2.png.png,train/benign/benign (96)-rotated2-rotated2.png,503dc38a11749df0d44cfd740b8c175b,bag-91b438efad84,grp-91b438efad84,-1.2917,2.4856,0.0222,1.0363,
val,malignant,1,train__malignant__malignant (102)-rotated1-rotated1.png.png,train/malignant/malignant (102)-rotated1-rotated1.png,161b478a79b3c62a8423a618191a3a51,bag-4e1488bd3bc8,grp-4e1488bd3bc8,-1.2917,1.4451,-0.5078,0.5505,
val,malignant,2,train__malignant__malignant (109)-rotated32-rotated32.png.png,train/malignant/malignant (109)-rotated32-rotated32.png,a391ce4aa973bee81a510cca5de61b0a,bag-e4e7b61aff8d,grp-e4e7b61aff8d,-1.2917,2.7256,0.0542,0.6886,
val,malignant,3,train__malignant__malignant (137)-rotated1-sharpened.png.png,train/malignant/malignant (137)-rotated1-sharpened.png,39146cae0d53dc42b4dd920a7b1a9566,bag-07ef57ef2181,grp-07ef57ef2181,-1.2917,2.7896,-0.4026,0.7314,
val,malignant,4,train__malignant__malignant (157)-sharpened-rotated1.png.png,train/malignant/malignant (157)-sharpened-rotated1.png,a33b9d00d65ecdedf36cfe2611c49ca0,bag-a1000eab5948,grp-a1000eab5948,-1.2917,2.7896,-0.1243,0.9636,
val,malignant,5,train__malignant__malignant (193)-rotated2-rotated32.png.png,train/malignant/malignant (193)-rotated2-rotated32.png,76f920c49c03e0f341ddb171d7fdfed3,bag-dffa2a3662bd,grp-dffa2a3662bd,-1.2917,2.7095,0.5773,0.8534,
val,malignant,6,train__malignant__malignant (199)-sharpened.png.png,train/malignant/malignant (199)-sharpened.png,5b8f141d4bfa99dfada30013d8122827,bag-af653bb5fdc5,grp-af653bb5fdc5,-1.2917,2.7896,0.6321,0.9842,
val,malignant,7,train__malignant__malignant (39)-rotated32-rotated1.png.png,train/malignant/malignant (39)-rotated32-rotated1.png,06fe3406c6604814a3171f03cd4bd14c,bag-f3f8466c4532,grp-f3f8466c4532,-1.2917,2.5815,-0.2182,1.0002,
val,malignant,8,train__malignant__malignant (45)-rotated1-rotated2.png.png,train/malignant/malignant (45)-rotated1-rotated2.png,c7e8f8d8e236852879fc1cf59030f69c,bag-f25ec6366ec9,grp-f25ec6366ec9,-1.2917,2.4214,-0.1916,0.9596,
val,malignant,9,train__malignant__malignant (77)-rotated32.png.png,train/malignant/malignant (77)-rotated32.png,0d79ee12c209587bf878d709a628d22c,bag-cb018604fb57,grp-cb018604fb57,-1.2917,2.6455,-0.2987,0.8667,
val,malignant,10,train__malignant__malignant (86)-rotated2-rotated1.png.png,train/malignant/malignant (86)-rotated2-rotated1.png,73655f048a253804df21d93e01e0ce9e,bag-28960827c2d6,grp-28960827c2d6,-1.2917,1.9893,-0.4929,0.5352,
val,malignant,11,val__malignant__malignant (13)-sharpened-rotated32.png.png,val/malignant/malignant (13)-sharpened-rotated32.png,6bcbca849fa1d6409315af07b1c26eaa,bag-cbe77797492f,grp-cbe77797492f,-1.2917,2.7896,0.1752,0.8563,
val,malignant,12,val__malignant__malignant (7)-rotated2-sharpened.png.png,val/malignant/malignant (7)-rotated2-sharpened.png,8566659d8c0d47515391f32a3597f34a,bag-0e9e3f410b4b,grp-0e9e3f410b4b,-1.2917,2.7896,0.3645,1.1838,
test,benign,1,train__benign__benign (103)-rotated1-rotated1.png.png,train/benign/benign (103)-rotated1-rotated1.png,28944dae48b0b70ba319c5f2c854720e,bag-28b67ff0e756,grp-28b67ff0e756,-1.2917,2.7417,0.1043,0.8849,
test,benign,2,train__benign__benign (113)-rotated2.png.png,train/benign/benign (113)-rotated2.png,d37983b9f2ffc9e12528858e7dff3b2c,bag-275479dc88ae,grp-275479dc88ae,-1.2917,2.7737,-0.0983,0.7768,
test,benign,3,train__benign__benign (140)-rotated1-sharpened.png.png,train/benign/benign (140)-rotated1-sharpened.png,e340f47a00f1031e74a71618b69f5b74,bag-4fd1e0cd29d9,grp-4fd1e0cd29d9,-1.2917,2.7896,0.3105,1.2159,
test,benign,4,train__benign__benign (157)-sharpened-sharpened.png.png,train/benign/benign (157)-sharpened-sharpened.png,f8169a49be04ebf0ab154d23f110f995,bag-64e77f9d7746,grp-64e77f9d7746,-1.2917,2.7896,0.257,1.2745,
test,benign,5,train__benign__benign (209)-rotated2-rotated1.png.png,train/benign/benign (209)-rotated2-rotated1.png,5997a6caeea7776db79e8eef161c88d0,bag-9a59148d09a1,grp-9a59148d09a1,-1.2917,2.7896,-0.0675,0.9841,
test,benign,6,train__benign__benign (228)-sharpened.png.png,train/benign/benign (228)-sharpened.png,c1459f9d7f89e2fdf5e69d8f43cbae07,bag-27030202425a,grp-27030202425a,-1.2917,2.7896,0.2635,1.0725,
test,benign,7,train__benign__benign (272)-rotated2.jpg.png,train/benign/benign (272)-rotated2.jpg,06a1a2b9f2eeb7e67441da2503828903,bag-0edec41367ef,grp-0edec41367ef,-1.2917,2.3096,-0.2416,0.7519,
test,benign,8,train__benign__benign (45)-rotated2-rotated1.png.png,train/benign/benign (45)-rotated2-rotated1.png,d322abbf8538e5ead63a8c7009c5b101,bag-2b6979996382,grp-2b6979996382,-1.2917,2.7737,0.1771,0.9533,
test,benign,9,train__benign__benign (68)-sharpened.png.png,train/benign/benign (68)-sharpened.png,3047c2c09a6d86cefdd708cac115808c,bag-2513cd696d02,grp-2513cd696d02,-1.2917,2.7896,0.4076,1.3276,
test,benign,10,train__benign__benign (88)-rotated2.jpg.png,train/benign/benign (88)-rotated2.jpg,8d4c2b51506e946036d66166f0c05b37,bag-3f9571d6c8f7,grp-3f9571d6c8f7,-1.2917,2.6616,-0.3631,0.9015,
test,benign,11,train__benign__benign (99)-rotated1-rotated2.png.png,train/benign/benign (99)-rotated1-rotated2.png,43af48561d7cdc8dc1e7e09b4c949d17,bag-1411ac842d21,grp-1411ac842d21,-1.2917,2.5815,-0.1267,0.8328,
test,benign,12,val__benign__benign (21)-sharpened-rotated1.png.png,val/benign/benign (21)-sharpened-rotated1.png,f53243d0577fdf43ab552378eb760db5,bag-e84ee33d17b9,grp-e84ee33d17b9,-1.2917,2.7896,0.6752,0.9894,
test,malignant,1,train__malignant__malignant (107)-rotated1-rotated1.png.png,train/malignant/malignant (107)-rotated1-rotated1.png,484874d8fc4bf1ab98874eeeb45f0584,bag-6b1058bb2768,grp-6b1058bb2768,-1.2917,2.7576,-0.0886,0.8616,
test,malignant,2,train__malignant__malignant (113)-rotated32-sharpened.png.png,train/malignant/malignant (113)-rotated32-sharpened.png,9cdd5f0f7ef898e70c149a875ea36828,bag-0628c9887393,grp-0628c9887393,-1.2917,2.7896,-0.0374,0.8431,
test,malignant,3,train__malignant__malignant (132)-rotated2-rotated1.png.png,train/malignant/malignant (132)-rotated2-rotated1.png,0f73bd8ae0bbb4c416e1cedae3b35a52,bag-05c39d11dbfe,grp-05c39d11dbfe,-1.2917,2.6775,0.3793,1.0247,
test,malignant,4,train__malignant__malignant (142)-sharpened-sharpened.png.png,train/malignant/malignant (142)-sharpened-sharpened.png,43a97ef0ca6b9b229456c7a30881dd05,bag-738a6429525a,grp-738a6429525a,-1.2917,2.7896,0.7101,1.4096,
test,malignant,5,train__malignant__malignant (148)-rotated32-rotated1.png.png,train/malignant/malignant (148)-rotated32-rotated1.png,63b9fbdf7512a93ec16acd3c4b24cfaa,bag-c37d4fceb6e0,grp-c37d4fceb6e0,-1.2917,2.7896,0.6491,0.8932,
test,malignant,6,train__malignant__malignant (163)-rotated1-rotated32.png.png,train/malignant/malignant (163)-rotated1-rotated32.png,d7c98b11140ae53ef732f1c9946fba9b,bag-27e655a2e87b,grp-27e655a2e87b,-1.2917,2.5654,0.0062,0.8587,
test,malignant,7,train__malignant__malignant (26)-sharpened-rotated2.png.png,train/malignant/malignant (26)-sharpened-rotated2.png,fad59624297c752fd753e450c1baba78,bag-aa0a62b755cf,grp-aa0a62b755cf,-1.2917,2.7896,0.4131,1.1008,
test,malignant,8,train__malignant__malignant (43)-rotated2-sharpened.png.png,train/malignant/malignant (43)-rotated2-sharpened.png,b4381a9feebc43b85c063f0bc87e13c2,bag-e3c0bebcfd8b,grp-e3c0bebcfd8b,-1.2917,2.7896,-0.4425,0.9527,
test,malignant,9,train__malignant__malignant (56)-rotated1-rotated1.png.png,train/malignant/malignant (56)-rotated1-rotated1.png,5e6b2d3681042c4ebb4f32bd83928882,bag-a44e181d47f7,grp-a44e181d47f7,-1.2917,1.7493,-0.6239,0.5217,
test,malignant,10,train__malignant__malignant (73)-rotated32-sharpened.png.png,train/malignant/malignant (73)-rotated32-sharpened.png,8851ba0cc1fdeaf838dc0523e125fc5e,bag-b2f60a2d24ed,grp-b2f60a2d24ed,-1.2917,2.7896,0.0705,1.0627,
test,malignant,11,train__malignant__malignant (98)-rotated2-rotated1.png.png,train/malignant/malignant (98)-rotated2-rotated1.png,5b5a1b7595fa8fe6649e8e92fb53a614,bag-904d1218b85a,grp-904d1218b85a,-1.2917,2.7896,-0.0166,1.0917,
test,malignant,12,val__malignant__malignant (1)-sharpened-rotated2-sharpened.png.png,val/malignant/malignant (1)-sharpened-rotated2-sharpened.png,61df8ccb5f3eb39545d877a5e752c294,bag-77687eacca02,grp-77687eacca02,-1.2917,2.7896,0.6287,1.4644,
